순번,제목,설명,발행일,링크,원본링크,언론사,IP포함,라이선싱포함,빌드업포함,코레일포함,슈야포함,테마카페포함,캐릭터포함
20,"코레일유통; '캐릭터 라이선싱 페어' 2년 연속 참가","코레일유통은 콘진원의 'IP 라이선싱 빌드업' 사업에 지난해에 이어 올해도 참여해 중소 지식재산(IP)기업과의 협업을 지속하고 있다. 국내 중소 지식재산(IP) 기업의 역량 강화를 목적으로 코레일유통은 전국 철도역의... ",2025-07-17,"https://www.cstimes.com/news/articleView.html?idxno=657242","https://www.cstimes.com/news/articleView.html?idxno=657242",Unknown,Y,Y,Y,Y,N,N,Y
21,"코레일유통; '2025 캐릭터 라이선싱 페어' 참가","코레일유통은 지난해에 이어 올해도 한국콘텐츠진흥원 'IP 라이선싱 빌드업' 사업에 참여해 중소 콘텐츠 기업과 협업을 이어가고 있다. 전국 철도역 유휴공간과 유통 인프라를 활용해 테마카페; 캐릭터 굿즈 출시 등... ",2025-07-17,"http://www.newsdream.kr/news/articleView.html?idxno=89825","http://www.newsdream.kr/news/articleView.html?idxno=89825",Unknown,Y,Y,Y,Y,N,Y,Y
22,"코레일유통; ‘2025 캐릭터 라이선싱 페어’ 참가","코레일유통은 콘진원의 ‘IP 라이선싱 빌드업’ 사업에 지난해에 이어 올해도 참여해 중소 지식재산(IP)기업과의 협업을 지속하고 있다. 국내 중소 지식재산(IP) 기업의 역량 강화를 목적으로 코레일유통은 전국... ",2025-07-18,"https://ilyo.co.kr/?ac=article_view&entry_id=496208","https://ilyo.co.kr/?ac=article_view&entry_id=496208",Unknown,Y,Y,Y,Y,N,N,Y
23,"코레일유통; '2025 캐릭터 라이선싱 페어' 참가","코레일유통은 콘진원의 'IP 라이선싱 빌드업' 사업에 지난해에 이어 올해도 참여해 중소 지식재산(IP)기업과의 협업을 지속하고 있다. 국내 중소 지식재산(IP) 기업의 역량 강화를 목적으로 코레일유통은 전국 철도역의... ",2025-07-17,"http://www.thefirstmedia.net/news/articleView.html?idxno=176425","http://www.thefirstmedia.net/news/articleView.html?idxno=176425",Unknown,Y,Y,Y,Y,N,N,Y
24,"코레일유통; ‘2025 캐릭터 라이선싱 페어’ 참가","코레일유통은 콘진원의 ‘IP 라이선싱 빌드업’ 사업에 지난해에 이어 올해도 참여해 중소 지식재산(IP)기업과의 협업을 지속하고 있다. 국내 중소 지식재산(IP) 기업의 역량 강화를 목적으로 코레일유통은 전국... ",2025-07-17,"http://www.lawissue.co.kr/view.php?ud=202507171628146775f4ab64559d_12","http://www.lawissue.co.kr/view.php?ud=202507171628146775f4ab64559d_12",Unknown,Y,Y,Y,Y,N,N,Y
25,"코레일유통; '2025 캐릭터 라이선싱 페어' 참가","코레일유통은 콘진원의 'IP 라이선싱 빌드업' 사업에 지난해에 이어 올해도 참여해 중소 지식재산(IP)기업과의 협업을 지속하고 있다. 국내 중소 지식재산(IP) 기업의 역량 강화를 목적으로 코레일유통은 전국 철도역의... ",2025-07-17,"http://www.sisacast.kr/news/articleView.html?idxno=77990","http://www.sisacast.kr/news/articleView.html?idxno=77990",Unknown,Y,Y,Y,Y,N,N,Y
26,"코레일유통; '라이선싱 페어' 참가","코레일유통은 콘진원의 'IP 라이선싱 빌드업' 사업에 지난해에 이어 올해도 참여해 중소 지식재산(IP)기업과의 협업을 지속하고 있다. 국내 중소 지식재산(IP) 기업의 역량 강화를 목적으로 코레일유통은 전국 철도역의... ",2025-07-17,"http://www.seoulwire.com/news/articleView.html?idxno=661112","http://www.seoulwire.com/news/articleView.html?idxno=661112",Unknown,Y,Y,Y,Y,N,N,N
27,"코레일유통; '2025 캐릭터 라이선싱 페어' 참가","코레일유통은 콘진원 'IP 라이선싱 빌드업' 사업에 지난해에 이어 올해도 참여해 중소 IP 기업과의 협업을 지속하고 있다. 국내 중소 IP 기업 역량 강화를 목적으로 전국 철도역의 유휴공간 및 유통 인프라를 활용해... ",2025-07-17,"https://www.s-journal.co.kr/news/articleView.html?idxno=31520","https://www.s-journal.co.kr/news/articleView.html?idxno=31520",Unknown,Y,Y,Y,Y,N,N,Y
28,"코레일유통; 2025 캐릭터 라이선싱 페어 참가","코레일유통은 콘진원의 IP 라이선싱 빌드업 사업에 지난해에 이어 올해도 참여해 중소 IP기업과 협업을 지속하고 있다. 국내 중소 IP 기업의 역량 강화를 목적으로 코레일유통은 전국 철도역의 유휴공간 및 유통 인프라를... ",2025-07-17,"https://www.insightkorea.co.kr/news/articleView.html?idxno=228526","https://www.insightkorea.co.kr/news/articleView.html?idxno=228526",Unknown,Y,Y,Y,Y,N,N,Y
29,"코레일유통; '캐릭터 라이선싱 페어' 참가","코레일유통은 콘진원의 'IP 라이선싱 빌드업' 사업에 지난해에 이어 올해도 참여해 중소 지식재산(IP)기업과의 협업을 지속하고 있다. 국내 중소 지식재산(IP) 기업의 역량 강화를 목적으로 코레일유통은 전국 철도역의... ",2025-07-17,"https://www.asiaa.co.kr/news/articleView.html?idxno=218069","https://www.asiaa.co.kr/news/articleView.html?idxno=218069",Unknown,Y,Y,Y,Y,N,N,Y
30,"코레일유통; 코엑스서 진행되는 '2025 캐릭터 라이선싱 페어' 참가","코레일유통은 콘진원의 'IP 라이선싱 빌드업' 사업에 지난해에 이어 올해도 참여해 중소 지식재산(IP)기업과의 협업을 지속하고 있다. 국내 중소 지식재산(IP) 기업의 역량 강화를 목적으로 코레일유통은 전국 철도역의... ",2025-07-17,"http://www.newslock.co.kr/news/articleView.html?idxno=112095","http://www.newslock.co.kr/news/articleView.html?idxno=112095",Unknown,Y,Y,Y,Y,N,N,Y
31,"코레일유통; '2025 캐릭터 라이선싱 페어' 참가","코레일유통은 콘진원의 'IP 라이선싱 빌드업' 사업에 지난해에 이어 올해도 참여해 중소 지식재산(IP)기업과의 협업을 지속하고 있다. 국내 중소 지식재산(IP) 기업의 역량 강화를 목적으로 코레일유통은 전국 철도역의... ",2025-07-16,"https://www.newsquest.co.kr/news/articleView.html?idxno=248667","https://www.newsquest.co.kr/news/articleView.html?idxno=248667",Unknown,Y,Y,Y,Y,N,N,Y
32,"코레일유통; '캐릭터 라이선싱 페어' 참가…&quot;중소 콘텐츠 기업과 협업 ...","코레일유통은 콘텐츠진흥원의 'IP 라이선싱 빌드업' 사업에 지난해에 이어 올해도 참여해 중소 지식재산(IP)기업과의 협업을 지속해 오고 있다. 지난 5월에는 사업 수행기관으로 선정돼 오는 9월 '슈야(케이비전)... ",2025-07-16,"https://www.econovill.com/news/articleView.html?idxno=703928","https://www.econovill.com/news/articleView.html?idxno=703928",Unknown,Y,Y,Y,Y,Y,N,Y
33,"코레일유통; 동대구역에 ‘트리핀X슈야’ 테마카페 오픈","이번 테마카페는 한국콘텐츠진흥원과 함께하는 ‘2025 IP 라이선싱 빌드업’ 사업의 일환으로; 중소 지식재산권(IP) 기업의 콘텐츠를 대중에게 알릴 수 있는 플랫폼 역할을 한다. 이번 테마카페의 주인공은 (주)케이비젼의... ",2025-09-22,"https://ilyo.co.kr/?ac=article_view&entry_id=500161","https://ilyo.co.kr/?ac=article_view&entry_id=500161",Unknown,Y,Y,Y,Y,Y,Y,N
34,"코레일유통; '2025 캐릭터 라이선싱 페어' 2년 연속 참가","코레일유통은 콘진원의 'IP 라이선싱 빌드업' 사업에 지난해에 이어 올해도 참여해 중소 지식재산 기업과의 협업을 지속하고 있다. 국내 중소 지식재산 기업의 역량 강화를 목적으로 코레일유통은 전국 철도역의 유휴... ",2025-07-17,"https://www.thepublic.kr/news/articleView.html?idxno=270339","https://www.thepublic.kr/news/articleView.html?idxno=270339",Unknown,Y,Y,Y,Y,N,N,Y
35,"코레일유통; 캐릭터 라이선싱 페어 참가","코레일유통은 지난해에 이어 IP 라이선싱 빌드업 사업에 2년 연속 참여하고 있다. 철도역 유휴공간을 활용한 테마카페와 굿즈 출시 등 다양한 협업을 추진 중이다. 코레일유통 관계자는 &quot;중소 콘텐츠 기업의 IP가 철도... ",2025-07-17,"http://www.iminju.net/news/articleView.html?idxno=134813","http://www.iminju.net/news/articleView.html?idxno=134813",Unknown,Y,Y,Y,Y,N,Y,Y
36,"코레일유통; '2025 캐릭터 라이선싱 페어' 참가","코레일유통은 콘진원의 'IP 라이선싱 빌드업' 사업에 지난해에 이어 올해도 참여해 중소 지식재산기업과의 협업을 지속하고 있다. 국내 중소 지식재산기업의 역량 강화를 목적으로 코레일유통은 전국 철도역의... ",2025-07-17,"https://www.datasom.co.kr/news/articleView.html?idxno=205218","https://www.datasom.co.kr/news/articleView.html?idxno=205218",Unknown,Y,Y,Y,Y,N,N,Y
37,"코레일유통; 전국 KTX역과 K콘텐츠 결합 가속","이번 테마카페는 한국콘텐츠진흥원과 함께하는 '2025 IP 라이선싱 빌드업' 사업의 일환으로; 중소 지식재산권(IP) 기업의 콘텐츠를 대중에게 알릴 수 있는 플랫폼 역할을 한다. 이번 테마카페의 주인공은 케이비젼의 인기... ",2025-09-23,"http://www.seoulwire.com/news/articleView.html?idxno=672178","http://www.seoulwire.com/news/articleView.html?idxno=672178",Unknown,Y,Y,Y,Y,N,Y,N
38,"코레일유통; 동대구역 '트리핀 X 슈야' 테마카페 오픈","이번 테마카페는 한국콘텐츠진흥원과 함께하는 '2025 IP 라이선싱 빌드업' 사업의 일환으로; 중소 지식재산권(IP) 기업의 콘텐츠를 대중에게 알릴 수 있는 플랫폼 역할을 한다. 이번 테마카페의 주인공은 (주)케이비젼의... ",2025-09-22,"http://www.ikld.kr/news/articleView.html?idxno=320837","http://www.ikld.kr/news/articleView.html?idxno=320837",Unknown,Y,Y,Y,Y,Y,Y,N
39,"코레일유통; ‘2025 캐릭터 라이선싱 페어’ 참가","코레일유통은 콘진원의 ‘IP 라이선싱 빌드업’ 사업에 지난해에 이어 올해도 참여해 중소 지식재산(IP) 기업과의 협업을 지속하고 있다. 코레일유통 박봉훈 미래성장처장은 “중소 콘텐츠 기업이 제작한 지식재산(IP)이... ",2025-07-17,"https://idsn.co.kr/news/view/1065592612101858","https://idsn.co.kr/news/view/1065592612101858",Unknown,Y,Y,Y,Y,N,N,Y
40,"코레일유통; '트리핀 X 슈야' 테마카페 선봬","이번 테마카페는 한국콘텐츠진흥원과 함께하는 '2025 IP 라이선싱 빌드업' 사업의 일환으로 중소 지식재산권(IP) 기업의 콘텐츠를 대중에게 알릴 수 있는 플랫폼 역할을 한다. 이번 테마카페의 주인공은 (주)케이비젼의... ",2025-09-21,"http://www.chungnamilbo.co.kr/news/articleView.html?idxno=850572","http://www.chungnamilbo.co.kr/news/articleView.html?idxno=850572",Unknown,Y,Y,Y,Y,Y,Y,N
41,"코레일유통; KTX 동대구역에 '슈야' 테마카페 오픈","코레일유통은 이번 공간을 한국콘텐츠진흥원과 함께하는 '2025 IP 라이선싱 빌드업' 사업의 하나로 조성해 중소 지식재산권(IP) 기업 콘텐츠를 대중에게 알릴 수 있는 플랫폼으로 운영한다고 23일 밝혔다. 테마카페의... ",2025-09-23,"http://www.whitepaper.co.kr/news/articleView.html?idxno=252345","http://www.whitepaper.co.kr/news/articleView.html?idxno=252345",Unknown,Y,Y,Y,Y,Y,Y,N
42,"코레일유통; 23일 동대구역에 '트리핀 X 슈야' 테마카페 오픈","이번 테마카페는 한국콘텐츠진흥원과 함께하는 '2025 IP 라이선싱 빌드업' 사업의 일환으로 중소 지식재산권(IP) 기업의 콘텐츠를 대중에게 알릴 수 있는 플랫폼 역할을 한다. 이번 테마카페의 주인공은 (주)케이비젼의... ",2025-09-22,"https://www.cstimes.com/news/articleView.html?idxno=668493","https://www.cstimes.com/news/articleView.html?idxno=668493",Unknown,Y,Y,Y,Y,Y,Y,N
43,"23일 동대구역 ‘슈야’·‘토야’ 캐릭터 테마카페 개장","코레일유통은 한국콘텐츠진흥원과 함께 하는 ‘2025 IP(지식재산권) 라이선싱 빌드업’ 사업으로 이번 테마카페를 준비했다. 이곳에선 캐릭터 개성을 반영한 세트 메뉴를 만날 수 있다. 슈크림 아인슈페너; 브라우니로... ",2025-09-22,"http://www.shinailbo.co.kr/news/articleView.html?idxno=2120852","http://www.shinailbo.co.kr/news/articleView.html?idxno=2120852",Unknown,Y,Y,Y,Y,Y,Y,Y
44,"코레일유통; 동대구역에 캐릭터 테마카페 개장","이번 테마카페는 한국콘텐츠진흥원과 함께하는 2025 IP 라이선싱 빌드업 사업의 하나다. 중소 IP 기업의 콘텐츠를 대중에게 알리는 플랫폼 역할을 한다. 카페는 정차역을 모티브로 꾸며졌다. 포토존과 굿즈 공간을... ",2025-09-22,"http://www.iminju.net/news/articleView.html?idxno=142598","http://www.iminju.net/news/articleView.html?idxno=142598",Unknown,Y,Y,Y,Y,N,Y,Y
45,"코레일유통; 동대구역에 '트리핀 X 슈야' 테마카페 오픈","이번 테마카페는 한국콘텐츠진흥원과 함께하는 '2025 IP 라이선싱 빌드업' 사업의 일환으로; 중소 지식재산권(IP) 기업의 콘텐츠를 대중에게 알릴 수 있는 플랫폼 역할을 한다. 지식재산권(IP)과 철도의 만남 이번... ",2025-09-22,"https://www.insightkorea.co.kr/news/articleView.html?idxno=232519","https://www.insightkorea.co.kr/news/articleView.html?idxno=232519",Unknown,Y,Y,Y,Y,Y,Y,N
46,"코레일유통; 23일 동대구역에 ‘트리핀 X 슈야’ 테마 카페 오픈","이번 테마 카페는 한국콘텐츠진흥원과 함께하는 「2025 지식재산권(IP) 라이선싱 빌드업」 사업의 일환으로; 중소 지식재산권(IP) 기업의 콘텐츠를 대중에게 알릴 수 있는 플랫폼 역할을 한다. 이번 테마 카페의 주인공은... ",2025-09-23,"https://idsn.co.kr/news/view/1065588708543303","https://idsn.co.kr/news/view/1065588708543303",Unknown,Y,Y,Y,Y,Y,N,N
47,"콘진원; K콘텐츠 대·중소기업 협업 매치 공로로 &quot;ESG 최우수상&quot; 수상","대·중소기업 상생 기반 ‘IP 라이선싱 빌드업’으로 공정한 수익 체계 마련 콘진원은 이번 수상에서 대·중소기업 간 협력을 강화하고; 중소 콘텐츠 기업의 지속 가능한 지식재산(IP) 수익 체계를 마련한 성과를 높이... ",2025-08-26,"https://n.news.naver.com/mnews/article/014/0005397242?sid=103","http://www.fnnews.com/news/202508270827253642",네이버뉴스,Y,Y,Y,N,N,N,N
48,"KTX 동대구역 카페에 K캐릭터 슈야·토야 뜬다","콘진원 'IP 라이선싱 빌드업' 中企 캐릭터 수익 보장하고 대기업·공기관과 협업 지원 슈크림서 탄생 토끼 캐릭터로 코레일유통; 테마카페 조성 캐릭터 '무더지' 칫솔치약세트 APEC 정상회의 물품에 선정 귀여운 무 캐릭터... ",2025-07-22,"https://n.news.naver.com/mnews/article/009/0005529296?sid=103","https://www.mk.co.kr/article/11374673",네이버뉴스,Y,Y,Y,Y,Y,Y,Y
49,"무더지 칫솔; 경주 APEC 정상회의에···K캐릭터의 힘","콘진원 ‘IP 라이선싱 빌드업’ 중소IP 신뢰 구축해 협업 이어져 상생하는 라이선싱 생태계 조성 중소IP에 최소 수익구조 보장 코레일유통 2년째 테마카페 조성 공동기획 : 한국콘텐츠진흥원·매일경제신문사 귀여운 무... ",2025-07-22,"https://n.news.naver.com/mnews/article/009/0005528934?sid=103","https://www.mk.co.kr/article/11374179",네이버뉴스,Y,Y,Y,Y,N,Y,Y
50,"코레일유통; KTX 동대구역에 '트리핀 X 슈야' 테마카페 오픈","이번 테마카페는 한국콘텐츠진흥원과 함께하는 '2025 IP 라이선싱 빌드업' 사업의 하나로; 중소 지식 재산권 기업의 콘텐츠를 대중에게 알리는 플랫폼 역할을 한다. 테마카페의 주인공은 케이비젼의 인기 이모티콘 캐릭터... ",2025-09-22,"https://www.thepublic.kr/news/articleView.html?idxno=277504","https://www.thepublic.kr/news/articleView.html?idxno=277504",Unknown,Y,Y,Y,Y,Y,Y,Y
51,"KTX를 타러 동대구역을 찾았다면; 기차만 타고 떠나지 말고 잠시 멈춰보...","이번 테마카페는 한국콘텐츠진흥원과 함께하는 「2025 IP 라이선싱 빌드업」 사업의 일환으로; 중소 지식재산권(IP) 기업의 콘텐츠를 대중에게 알릴 수 있는 플랫폼 역할을 한다. 이번 테마카페의 주인공은 (주)케이비젼의... ",2025-09-23,"http://www.globalepic.co.kr/view.php?ud=202509221624245826ac3d53c8ec_29","http://www.globalepic.co.kr/view.php?ud=202509221624245826ac3d53c8ec_29",Unknown,Y,Y,Y,N,N,Y,N
52,"코레일; &quot;의왕 철도박물관; 복합문화공간으로 거듭난다&quot; [공기업오늘]","코레일유통은 행사 내 'IP 라이선싱 빌드업' 기획관에 참가해 중소 콘텐츠 기업과 협업해 제작한 캐릭터 굿즈와 철도 관련 IP 상품들을 소개한다. 전시 부스에는 실제 열차를 모티브로 제작한 열차모형 블록도 함께... ",2025-07-17,"http://www.sisaon.co.kr/news/articleView.html?idxno=173259","http://www.sisaon.co.kr/news/articleView.html?idxno=173259",Unknown,Y,Y,Y,Y,N,N,Y
53,"GS리테일; ‘2024 IP 라이선싱 빌드업’에 참여","GS리테일이 오는 11월까지 한국콘텐츠진흥원이 주관하는 ‘2024 IP 라이선싱 빌드업’ 프로그램에 플랫폼사로 참여; 우수 콘텐츠 IP를 보유한 국내 중소 콘텐츠기업의 성장을 지원한다고 밝혔다. GS리테일 관계자는 &quot;IP... ",2024-07-25,"http://www.lawissue.co.kr/view.php?ud=202407251757344860204ead0791_12","http://www.lawissue.co.kr/view.php?ud=202407251757344860204ead0791_12",Unknown,Y,Y,Y,N,N,N,N
